attribute,mean,max,min
pubchem_f365,0.022478386167146973,1.0,0.0
pubchem_f651,0.022478386167146973,1.0,0.0
pubchem_f501,0.04092219020172911,1.0,0.0
pubchem_f516,0.03631123919308357,1.0,0.0
pattern_c243,0.019596541786743516,1.0,0.0
pubchem_f642,0.37002881844380403,1.0,0.0
pubchem_f335,0.23285302593659943,1.0,0.0
pubchem_f354,0.10605187319884726,1.0,0.0
pubchem_f714,0.04668587896253602,1.0,0.0
secondary carboxamide,0.13025936599423632,1.0,0.0
pattern_c19,0.13025936599423632,1.0,0.0
pattern_c165,0.057060518731988474,1.0,0.0
mixed_anhydride,0.018443804034582133,1.0,0.0
pubchem_f158,0.018443804034582133,1.0,0.0
n-acyl-aliphatic alpha-amino-acid,0.018443804034582133,1.0,0.0
maccs_k136,0.3331412103746398,1.0,0.0
pubchem_f693,0.43746397694524497,1.0,0.0
pubchem_f360,0.04899135446685879,1.0,0.0
maccs_k016,0.017867435158501442,1.0,0.0
pubchem_f119,0.017867435158501442,1.0,0.0
pubchem_f449,0.0484149855907781,1.0,0.0
epoxide,0.01729106628242075,1.0,0.0
macrocycle_r12_r40,0.01729106628242075,1.0,0.0
pattern_c47,0.4853025936599424,1.0,0.0
maccs_k150,0.813256484149856,1.0,0.0
4_hydroxyanilide,5.763688760806917E-4,1.0,0.0
pubchem_f349,5.763688760806917E-4,1.0,0.0
pubchem_f351,5.763688760806917E-4,1.0,0.0
pubchem_f048,5.763688760806917E-4,1.0,0.0
pattern_c352,5.763688760806917E-4,1.0,0.0
pattern_c125,5.763688760806917E-4,1.0,0.0
pubchem_f299,5.763688760806917E-4,1.0,0.0
